hoogte,jaar,naam,land
1.59,1928,Ethel Catherwood,CAN
1.65,1932,Jean Shiley,USA
1.60,1936,Ibolya Csák,HUN
1.68,1948,Alice Coachman,USA
1.67,1952,Esther Brand,RSA
1.76,1956,Mildred McDaniel,USA
1.85,1960,Iolanda Balas,ROM
1.90,1964,Iolanda Balas,ROM
1.82,1968,Miloslava Rezkovám,CZE
1.92,1972,Ulrike Meyfarth,FRG
1.93,1976,Rosemarie Ackermann,GDR
1.97,1980,Sara Simeoni,ITA
2.02,1984,Ulrike Meyfarth,FRG
2.03,1988,Louise Ritter,USA
2.02,1992,Heike Henkel,GER
2.05,1996,Stefka Kostadinova,BUL
2.01,2000,Yelena Yelesina,RUS
2.06,2004,Yelena Yelesina,RUS
2.05,2008,Tia Hellebaut,BEL
2.05,2012,Anna Chicherova,RUS
1.97,2016,Ruth Beitia,ESP
2.04,2020,Mariya Lasitskene,ROC